Date,A_GH_ft,A_GHTW_ft,A1_D-SP_inches,A2_D-SP_inches,B1_D-SP_inches,B2_D-SP_inches,C_D-MGH_ft,D_D-MGH_ft,E_D-MGH_ft,F_D-MGH_ft,G_MaxRH_%,G_MinRH_%,G_MeanRH_%
2024-05-02,8.3,4.8,0.2,0.3,0.4,0.2,92.7,12.3,6.7,3.1,96.0,70.9,84.6
2024-05-03,8.3,4.8,0.0,0.1,0.0,0.0,92.7,12.3,6.7,3.1,100.0,34.3,67.7
2024-05-04,8.4,4.8,0.6,0.8,0.6,0.5,92.7,12.3,6.7,3.2,98.3,57.7,79.5
2024-05-05,8.4,5.3,0.0,0.0,0.0,0.0,92.7,12.2,6.7,3.2,99.8,44.4,71.5
2024-05-06,8.4,5.1,0.0,0.0,0.0,0.0,92.7,12.2,6.7,3.1,92.6,45.9,68.8
2024-05-07,8.4,5.5,1.8,1.2,1.4,1.4,92.7,12.2,6.7,3.2,99.8,59.3,86.0
2024-05-08,8.6,6.6,0.0,0.0,16.7,0.0,92.7,12.3,6.8,3.2,97.8,44.4,80.4
2024-05-09,8.6,6.6,0.1,0.2,0.2,0.1,92.7,12.3,6.8,3.2,95.6,74.3,84.5
2024-05-10,8.6,6.6,0.1,0.1,0.2,,92.7,12.3,6.8,3.3,99.0,32.7,72.0
2024-05-11,8.6,6.6,0.0,0.0,0.0,0.0,92.7,12.3,6.8,3.3,94.7,43.7,73.6
2024-05-12,8.5,6.5,0.0,0.0,0.0,0.0,92.7,12.2,6.8,3.3,90.9,38.0,64.9
2024-05-13,8.4,6.5,0.0,0.1,0.1,0.1,92.7,12.2,6.8,3.3,95.9,51.0,71.7
2024-05-14,8.3,6.1,0.0,0.0,0.0,0.0,92.7,12.2,6.8,3.3,90.6,58.4,73.9
2024-05-15,8.3,5.9,0.0,0.0,0.0,0.0,92.7,12.2,6.7,3.3,95.4,39.2,70.2
2024-05-16,8.3,5.9,0.1,0.0,0.0,0.0,92.6,12.2,6.7,3.3,100.0,57.4,84.1
2024-05-17,8.3,6.0,0.0,0.0,0.0,0.0,92.6,12.2,6.7,3.3,100.0,42.6,74.1
2024-05-18,8.3,6.0,0.0,0.0,0.0,0.0,92.6,12.2,6.7,3.3,94.0,38.4,67.2
2024-05-19,8.3,6.0,0.0,0.0,0.0,0.0,92.6,12.1,6.7,3.3,93.8,31.3,57.5
2024-05-20,8.2,6.0,0.5,0.7,16.7,0.5,92.6,12.2,6.7,3.3,100.0,58.8,88.1
2024-05-21,8.2,6.3,0.1,0.1,16.7,0.0,92.6,12.2,6.7,3.4,100.0,72.7,90.8
2024-05-22,8.2,5.8,0.0,0.0,16.7,0.0,92.8,12.3,6.8,3.5,99.3,49.2,79.7
2024-05-23,8.2,5.1,0.0,0.0,16.7,0.0,92.7,12.3,6.8,3.6,92.6,41.2,70.1
2024-05-24,8.3,4.8,0.5,0.5,16.7,0.5,92.8,12.3,6.8,3.7,98.3,60.4,83.9
2024-05-25,8.3,4.9,0.0,0.0,16.7,0.0,92.8,12.3,6.9,3.8,98.4,48.6,70.9
2024-05-26,8.4,5.1,0.4,0.4,16.7,0.5,92.8,12.4,6.9,3.9,100.0,52.6,82.8
2024-05-27,8.4,5.3,0.0,0.1,16.7,0.2,92.8,12.4,7.0,4.0,100.0,74.4,93.6
2024-05-28,8.4,5.3,0.3,0.1,16.7,0.1,92.8,12.4,7.0,4.0,100.0,62.0,92.6
2024-05-29,8.4,5.6,0.0,0.0,16.7,0.0,92.8,12.4,7.0,4.1,100.0,43.2,71.0
2024-05-30,8.4,5.6,0.0,0.0,16.7,0.0,92.8,12.4,7.0,4.0,98.5,39.3,63.3
2024-05-31,8.4,5.6,0.0,0.0,16.7,0.0,92.8,12.4,6.9,4.0,77.2,37.4,52.3
2024-06-01,8.4,5.5,0.2,0.3,16.7,0.1,92.8,12.4,6.9,4.0,100.0,60.2,81.8
2024-06-02,8.4,5.6,0.0,0.0,16.7,0.2,92.8,12.4,6.9,4.0,100.0,39.7,74.8
2024-06-03,8.4,5.6,0.6,0.4,0.3,0.1,92.8,12.4,6.9,4.0,100.0,58.5,84.3
2024-06-04,8.4,6.1,0.0,0.1,0.2,0.1,92.8,12.4,6.9,4.1,98.5,62.4,81.7
2024-06-05,8.4,6.7,0.5,0.6,0.8,0.8,92.9,12.4,7.0,4.1,99.3,45.5,80.2
2024-06-06,8.4,6.8,0.0,0.0,0.0,0.0,92.9,12.4,6.9,4.1,97.7,55.7,75.5
2024-06-07,8.4,6.5,0.0,0.0,0.0,0.0,92.9,12.4,6.9,4.1,84.3,40.0,64.9
2024-06-08,8.4,6.1,0.1,0.2,0.5,0.2,92.8,12.4,6.9,4.1,100.0,63.2,87.8
2024-06-09,8.4,6.2,0.0,0.0,0.0,0.0,92.8,12.4,6.9,4.0,100.0,45.7,74.6
2024-06-10,8.4,6.2,0.0,0.0,0.0,0.0,92.8,12.4,6.8,4.0,91.6,41.3,67.4
2024-06-11,8.4,6.1,0.0,0.0,0.0,0.0,92.8,12.4,6.8,3.9,92.0,47.1,72.8
2024-06-12,8.4,5.1,0.0,0.0,0.0,0.0,92.8,12.3,6.8,3.9,93.4,39.3,67.4
2024-06-13,8.4,5.3,0.0,0.0,0.0,,92.8,12.4,6.8,3.8,99.2,36.8,71.9
2024-06-14,8.4,5.4,0.0,0.0,0.0,0.0,92.8,12.4,6.8,3.8,98.3,40.8,65.4
2024-06-15,8.4,5.3,0.0,0.0,0.0,0.0,92.8,12.3,6.8,3.8,83.2,57.2,68.5
2024-06-16,8.4,5.3,0.4,0.3,0.0,0.2,92.8,12.3,6.8,3.7,98.3,68.7,80.5
2024-06-17,8.4,5.3,0.0,0.0,0.0,0.0,92.8,12.3,6.8,3.7,98.2,56.0,83.0
2024-06-18,8.4,5.1,0.0,0.0,0.0,0.0,92.8,12.3,6.7,3.6,85.9,61.3,74.1
2024-06-19,8.4,5.2,0.0,0.0,0.0,0.0,92.8,12.3,6.7,3.6,100.0,67.4,82.2
2024-06-20,8.4,5.2,0.0,0.0,0.0,0.0,92.8,12.3,6.7,3.6,100.0,74.8,91.4
2024-06-21,8.4,5.1,0.0,0.0,0.0,0.0,92.8,12.3,6.7,3.6,99.8,84.3,93.2
2024-06-22,8.4,5.2,1.0,1.2,0.8,1.4,92.8,12.4,6.8,3.7,100.0,79.2,97.1
2024-06-23,8.5,5.6,0.1,0.0,0.0,0.0,92.8,12.5,6.8,3.8,100.0,56.6,85.2
2024-06-24,8.4,5.8,0.0,0.0,0.0,0.0,92.8,12.4,6.8,3.8,100.0,59.1,78.7
2024-06-25,8.4,5.8,0.4,0.4,0.5,0.4,92.9,12.4,6.8,3.9,100.0,52.9,80.8
2024-06-26,8.4,5.8,0.0,0.0,0.0,0.0,92.9,12.4,6.8,3.9,89.8,44.8,74.6
2024-06-27,8.4,5.3,0.0,0.0,0.0,0.0,92.9,12.4,6.7,3.9,99.7,45.2,70.5
2024-06-28,8.4,5.2,0.8,0.5,0.6,0.5,92.8,12.4,6.7,3.9,100.0,74.0,89.9
2024-06-29,8.4,5.4,0.2,0.1,0.1,0.1,92.8,12.5,6.7,4.0,100.0,-100.0,74.2
2024-06-30,8.4,5.6,0.0,0.0,0.0,0.0,92.8,12.5,6.7,4.0,94.2,42.6,71.8
2024-07-01,8.4,5.8,0.0,0.0,0.0,0.0,92.8,12.4,6.6,4.0,97.3,40.9,68.8
2024-07-02,8.4,5.7,0.3,0.2,0.2,0.2,92.8,12.5,6.7,4.1,100.0,77.5,92.4
2024-07-03,8.3,5.6,0.0,0.0,0.0,0.0,92.8,12.6,6.8,4.2,100.0,56.1,82.5
2024-07-04,8.4,5.2,0.2,0.1,0.2,0.0,92.8,12.6,6.8,4.2,99.9,59.2,83.6
2024-07-05,8.5,5.5,0.8,0.8,1.0,0.9,92.8,12.6,6.9,4.4,100.0,88.1,96.9
2024-07-06,8.5,5.8,0.0,0.0,0.0,0.0,92.9,12.6,6.9,4.4,100.0,55.3,83.9
2024-07-07,8.5,6.0,0.1,0.2,0.1,0.1,92.8,12.6,6.8,4.4,99.3,65.0,85.4
2024-07-08,8.4,5.9,0.0,0.0,0.0,0.0,92.8,12.6,6.8,4.4,98.7,62.8,83.3
2024-07-09,8.4,5.9,0.0,0.0,0.0,0.0,92.8,12.6,6.8,4.4,100.0,53.5,80.8
2024-07-10,8.4,5.8,0.0,0.0,0.0,0.0,92.8,12.6,6.8,4.4,98.1,61.0,82.4
2024-07-11,8.4,5.7,0.0,0.0,0.0,0.0,92.8,12.6,6.7,4.4,98.1,47.4,77.6
2024-07-12,8.4,5.2,0.0,0.0,0.0,0.0,92.8,12.6,6.7,4.4,95.3,49.5,69.8
2024-07-13,8.4,5.1,0.6,0.5,0.5,0.6,92.8,12.6,6.7,4.3,99.7,48.0,77.7
2024-07-14,8.5,6.0,1.0,1.2,1.7,1.1,92.8,12.6,6.7,4.5,98.6,60.5,83.3
2024-07-15,8.5,6.6,0.5,1.2,1.4,1.3,92.8,12.6,6.7,4.5,100.0,63.9,85.9
2024-07-16,8.5,7.2,0.0,0.0,0.0,0.0,92.8,12.6,6.7,4.5,16.7,16.7,16.7
2024-07-17,8.5,7.0,0.0,0.0,0.0,0.0,92.7,12.6,6.6,4.5,16.7,16.7,16.7
2024-07-18,8.4,6.6,0.0,0.0,0.0,0.0,92.7,12.5,6.6,4.4,16.7,16.7,16.7
2024-07-19,8.4,6.0,0.0,0.0,0.0,0.0,92.7,12.5,6.5,4.4,16.7,16.7,16.7
2024-07-20,8.4,5.5,0.0,0.0,0.0,0.0,92.7,12.5,6.5,4.3,16.7,16.7,16.7
2024-07-21,8.4,5.3,0.0,0.0,0.0,0.0,92.7,12.5,6.5,4.3,16.7,16.7,16.7
2024-07-22,8.4,5.3,0.0,0.0,0.0,0.0,92.7,12.5,6.5,4.3,16.7,16.7,16.7
2024-07-23,8.4,5.2,0.1,0.0,0.1,0.1,92.7,12.5,6.5,4.4,16.7,16.7,16.7
2024-07-24,8.4,5.2,0.0,0.0,0.0,0.0,92.7,12.5,6.4,4.4,16.7,16.7,16.7
2024-07-25,8.4,5.1,0.0,0.0,0.0,0.0,92.7,12.4,6.4,4.4,16.7,16.7,16.7
2024-07-26,8.4,5.1,0.0,0.0,0.0,0.0,92.6,12.4,6.4,4.3,16.7,16.7,16.7
2024-07-27,8.4,5.1,0.0,0.0,0.0,0.0,92.6,12.4,6.4,4.2,16.7,16.7,16.7
2024-07-28,8.4,5.1,0.1,0.1,1.1,1.1,92.6,12.4,6.4,4.2,16.7,16.7,16.7
2024-07-29,8.4,5.2,0.0,0.2,0.3,0.2,92.6,12.4,6.4,4.2,16.7,16.7,16.7
2024-07-30,8.4,5.2,0.0,0.0,0.0,0.0,92.6,12.4,6.4,4.1,16.7,16.7,16.7
2024-07-31,8.4,5.0,0.0,0.0,0.0,0.0,92.6,12.4,6.4,4.0,16.7,16.7,16.7
2024-08-01,8.4,5.0,1.5,0.8,0.4,0.1,92.6,12.4,6.4,4.0,16.7,16.7,16.7
2024-08-02,8.4,5.4,0.0,0.0,0.0,0.0,92.6,12.5,6.5,4.0,16.7,16.7,16.7
2024-08-03,8.4,5.5,0.0,0.0,0.0,0.0,92.6,12.5,6.5,3.9,16.7,16.7,16.7
2024-08-04,8.4,5.6,0.0,0.0,0.0,0.0,92.5,12.5,6.5,3.8,16.7,16.7,16.7
2024-08-05,8.4,5.5,0.0,0.0,0.0,0.0,92.5,12.5,6.5,3.8,16.7,16.7,16.7
2024-08-06,8.4,5.8,1.1,0.7,1.2,1.0,92.6,12.5,6.5,3.9,16.7,16.7,16.7
2024-08-07,8.4,6.0,0.0,0.0,0.0,0.0,92.6,12.5,6.5,3.8,16.7,16.7,16.7
2024-08-08,8.4,5.8,0.0,0.0,0.0,0.0,92.6,12.5,6.5,3.8,16.7,16.7,16.7
